Name,,Upload,Download,Type,Supplier,Supplier Product Ref.,Supplier Product Subtype,Actual Ex VAT  ,Promotional Pricing including VAT,Yearly ,Benefit 1 ,Benefit 2,Recommended (HIGHLIGHT)
Standard Broadband,,,,,,,,,,,,,
BTW ,ADSL2+,,,ADSL,BT_WHOLESALE,BT_21CN_ADSL2Plus,Standard ,£15.99,£15.00,,,,
TTB,,,,ADSL,TTB,TTB_ADSL2,Standard ,£15.99,,,,,
,,,,,,,,,,,,,
SOGEA,,,,,,,,,,,,,
BTW ,FTTC (SOGEA) 40/10 Mkt A,40,10,SOGEA,BT_WHOLESALE,BT_21CN_SOGEA,STANDARD,£35.99,£33.00,,,,
BTW ,FTTC (SOGEA) 40/10 Mkt B,,,SOGEA,BT_WHOLESALE,BT_21CN_SOGEA,STANDARD,£35.99,,,,,
BTW ,FTTC (SOGEA) 80/20 Mkt A,80,20,SOGEA,BT_WHOLESALE,BT_21CN_SOGEA,PLUS,£35.99,,,,,
BTW ,FTTC (SOGEA) 80/20 Mkt B,,,SOGEA,BT_WHOLESALE,BT_21CN_SOGEA,PLUS,£35.99,,,,,
Voda,SOGEA 40/10,,,SOGEA,VODAFONE,VF_SOGEA,40/10,£35.99,,,,,
Voda,SOGEA 80/20,,,SOGEA,VODAFONE,VF_SOGEA,40/10,£35.99,,,,,
,,,,,,,,,,,,,
Fast Fibre,,,,,,,,,,,,,
BTW ,FTTC 40/10,,,FTTC,BT_WHOLESALE,BT_21CN_FTTC,STANDARD,£25.99,£30.00,,,,
TTB,FTTC 40/10,,,FTTC,TTB,TTB_WLR_FTTC,STANDARD,£25.99,,,,,
TTB,FTTC 80/20,,,FTTC,TTB,TTB_WLR_FTTC,STANDARD,£25.99,,,,,
BTW ,FTTC 80/20 ,,,FTTC,BT_WHOLESALE,BT_21CN_FTTC,STANDARD,£25.99,,,,,
,,,,,,,,,,,,,
G Fast ,,,,,,,,,,,,,
BTW ,GFAST 160/30 ,,,FTTC,BT_WHOLESALE,BT_21CN_FTTC_GFAST,160/30,£33.33,£35.00,,,,
BTW ,GFAST 330/50 ,,,FTTC,BT_WHOLESALE,BT_21CN_FTTC_GFAST, 330/50,£39.16,£44.00,,,,
,,,,,,,,,,,,,
Superfast Fibre,,,,,,,,,,,,,
VODA,FTTP 40/10,,,FTTP,VODAFONE,VF_FTTP,40/10,£27.50,£33.00,,,,
BTW ,FTTP 40/10,,,FTTP,BT_WHOLESALE,BT_21CN_FTTP,40/10,£27.50,,,,,
VODA,FTTP 80/20,,,FTTP,VODAFONE,VF_FTTP,80/20,£27.50,,,,,
BTW ,FTTP 80/20,,,FTTP,BT_WHOLESALE,BT_21CN_FTTP,80/20,£27.50,,,,,
VODA,FTTP 115/20,,,FTTP,VODAFONE,VF_FTTP,115/20,£10.00,£37.00,,,,
BTW ,FTTP 115/20,,,FTTP,BT_WHOLESALE,BT_21CN_FTTP,115/20,£10.00,,,,,
BTW ,FTTP 160/30,,,FTTP,BT_WHOLESALE,BT_21CN_FTTP,160/30,£10.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ultrafast Fibre,,,,,,,,,,,,,
VODA,FTTP 220/30,,,FTTP,VODAFONE,VF_FTTP,220/30,£10.00,£40.00,£450 per year ,,,
BTW ,FTTP 220/30,,,FTTP,BT_WHOLESALE,BT_21CN_FTTP,220/30,£10.00,,,,,
BTW ,FTTP 330/50,,,FTTP,BT_WHOLESALE,BT_21CN_FTTP,330/50,£10.00,,,,,
VODA,FTTP 550/75,,,FTTP,VODAFONE,VF_FTTP,550/75,£10.00,,,,,
BTW ,FTTP 550/75,,,FTTP,BT_WHOLESALE,BT_21CN_FTTP,550/75,£10.00,,,,,
VODA,FTTP 1000/115,,,FTTP,VODAFONE,VF_FTTP,1000/115,£10.00,£54.00,£580 per year ,,,
BTW ,FTTP 1000/115,,,FTTP,BT_WHOLESALE,BT_21CN_FTTP,1000/115,£10.00,,,,,
,,,,,,,,,,,,,
Rules for options appearing for end user,,,,,,,,,,,,,
,"If only ADSL is available, only show ADSL pricing ",,,Line Order ,,,,,,,,,
,If FTTC is available only show FTTC ,,,Line Order ,,,,,,,,,Recommendation is highest price of options
,IF G Fast is Available only show G FAST ,,,Line Order ,,,,,,,,,
,IF SOGEA is available only show SOGEA ,,,Offer digital phone ,,,,,,,,,
,IF FTTP is available only show FTTP ,,,Offer digital phone ,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,If any less than superfast is available take through line order journey below,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Order ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Yearly ,Monthly ,Keep your number ,Yes,No,,,,,
,New line install ,,,,,Yes / No ,Give number,New Install - £73 ,,,,,
,Line Rental ,,,£144 ,£18.00 ,,,,,,,,
Tick box ,Unlimited Calls ,,,,£10.00 ,,,,,,,,
Tick box when unlimited calls ticked ,Add unlimited 07,,,,£5.00 ,,,,,,,,
,,,,,,,,,,,,,
Tick box,Want unlimited mobile? ,,,,£15.00 ,,,,,,,,
,,,,,,,,,,,,,
,Can’t see the speeds you want? ,,,,,,,,,,,,
,,,,,,,,,,,,,
,Arrange a call back for other options ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Digital Phone Order ,,,,,,,,,,,,,
,,,,Yearly ,Monthly ,Keep your number ,Yes,No,,,,,
,New line install ,,,,,Yes / No ,Give number,a new number will be provided,,,,,
,Line Rental ,,,£87 ,£12.00 ,,,,,,,,
Tick box ,Unlimited Calls ,,,included ,,,,,,,,,
Tick box when unlimited calls ticked ,Add unlimited 07,,,,,,,,,,,,
,,,,,,,,,,,,,
Tick box,Want unlimited mobile? ,,,£27.00 ,£3.00 ,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pop Ups,,,,implement pop up if end user is not moving through order journey,,,,,,,,,
POP UP BOX ,Can’t see what you want? Arrange a call back for other options ,,,,,,,,,,,,